# Forces      
# CofR        : (2.929541e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((-3.158246e-06 9.168833e+00 6.765866e+00) (-1.206032e+00 3.003140e-06 -2.308275e-06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.101783e+00 1.982084e+01 -2.686044e+01) (6.982541e-07 2.797936e-01 -1.936068e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0119904     	((-5.869313e-01 9.239111e+00 6.840992e+00) (-3.228885e-01 -8.731885e-04 1.606695e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.117738e+00 2.001686e+01 -2.658754e+01) (-1.943513e-04 7.621181e-02 -8.478454e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0224256     	((-1.798598e-01 9.305603e+00 6.803894e+00) (-1.115335e-01 -1.381069e-03 1.636036e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.132426e+00 1.992112e+01 -2.711111e+01) (-3.188074e-04 3.048996e-02 -1.150285e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0320908     	((-1.482697e-01 9.316905e+00 6.809732e+00) (-5.813563e-02 -1.473296e-03 1.686225e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.134756e+00 1.994241e+01 -2.717313e+01) (-3.345182e-04 1.819244e-02 2.011984e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0428906     	((-1.320947e-01 9.316656e+00 6.809181e+00) (-3.961552e-02 -1.269998e-03 1.142023e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.134643e+00 1.994495e+01 -2.718902e+01) (-2.824863e-04 1.246500e-02 2.129201e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0550403     	((-1.359954e-01 9.320269e+00 6.809811e+00) (-3.753215e-02 -1.500365e-03 9.915570e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.135070e+00 1.995003e+01 -2.719981e+01) (-3.247864e-04 1.169194e-02 2.886485e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0691286     	((-1.486853e-01 9.340751e+00 6.813857e+00) (-3.790630e-02 -1.320096e-03 1.023433e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.138896e+00 1.996452e+01 -2.725268e+01) (-2.952381e-04 1.206869e-02 2.418402e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0852953     	((-1.628616e-01 9.369358e+00 6.821198e+00) (-3.851489e-02 -1.535787e-03 1.033883e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.144345e+00 1.998783e+01 -2.732740e+01) (-3.371030e-04 1.241086e-02 3.028693e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.103634      	((-1.717160e-01 9.400853e+00 6.832043e+00) (-3.884387e-02 -1.405074e-03 9.423250e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.150566e+00 2.002048e+01 -2.741372e+01) (-3.082270e-04 1.238594e-02 2.670607e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.121768      	((-1.779802e-01 9.454528e+00 6.848739e+00) (-3.937470e-02 -1.386182e-03 6.949387e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.161663e+00 2.007004e+01 -2.756669e+01) (-2.936105e-04 1.191716e-02 2.606502e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.142265      	((-1.733643e-01 9.511175e+00 6.870669e+00) (-3.999583e-02 -1.215485e-03 1.139106e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.173649e+00 2.013382e+01 -2.773577e+01) (-2.369563e-04 1.047533e-02 2.070157e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.165288      	((-1.687565e-01 9.581277e+00 6.893331e+00) (-4.021936e-02 -5.232140e-04 -3.130428e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.188664e+00 2.019983e+01 -2.794434e+01) (-6.696321e-05 9.469152e-03 -1.503657e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.190868      	((-1.569077e-01 9.626192e+00 6.908267e+00) (-4.035294e-02 -1.700355e-03 -1.242481e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.198504e+00 2.024267e+01 -2.808414e+01) (-2.879088e-04 6.786317e-03 3.665854e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.218193      	((-1.425096e-01 9.635847e+00 6.911696e+00) (-3.973480e-02 -1.216950e-03 -1.979377e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.201173e+00 2.025148e+01 -2.812237e+01) (-1.586047e-04 4.567877e-03 2.240740e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.246488      	((-1.259460e-01 9.606956e+00 6.899526e+00) (-3.879188e-02 -6.726131e-04 -2.423718e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.195728e+00 2.021499e+01 -2.804943e+01) (-3.527119e-05 3.059099e-03 5.778011e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.276765      	((-1.109485e-01 9.556014e+00 6.876564e+00) (-3.813958e-02 -8.009860e-04 -2.534846e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.185729e+00 2.014702e+01 -2.791092e+01) (-6.203994e-05 2.554819e-03 1.020181e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.307042      	((-9.868097e-02 9.471718e+00 6.836658e+00) (-3.724498e-02 -7.883780e-04 -2.462601e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.168489e+00 2.003011e+01 -2.767316e+01) (-7.220639e-05 2.503144e-03 9.912000e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.337917      	((-8.714945e-02 9.376775e+00 6.790488e+00) (-3.653408e-02 -1.097780e-03 -1.977721e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.148941e+00 1.989490e+01 -2.740374e+01) (-1.629526e-04 3.714190e-03 1.947465e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.368588      	((-7.853884e-02 9.268312e+00 6.733877e+00) (-3.601311e-02 -1.436309e-03 -1.428496e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.126285e+00 1.972942e+01 -2.709264e+01) (-2.653073e-04 5.153561e-03 2.970587e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.402149      	((-7.021568e-02 9.161865e+00 6.676170e+00) (-3.540611e-02 -1.739399e-03 -7.123584e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.103926e+00 1.956069e+01 -2.678730e+01) (-3.687047e-04 7.080161e-03 3.869756e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.420689      	((-6.699124e-02 9.123659e+00 6.650901e+00) (-3.515714e-02 -2.020181e-03 -1.713427e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.095810e+00 1.948698e+01 -2.667807e+01) (-4.533996e-04 8.589697e-03 4.720670e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.442599      	((-6.240141e-02 9.071925e+00 6.622626e+00) (-3.490531e-02 -2.244259e-03 4.108010e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.084761e+00 1.940426e+01 -2.653010e+01) (-5.292217e-04 1.022309e-02 5.385573e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.468203      	((-5.627893e-02 9.042896e+00 6.604593e+00) (-3.482722e-02 -2.445011e-03 9.573534e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.078420e+00 1.935154e+01 -2.644985e+01) (-5.974259e-04 1.180502e-02 5.974556e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.497068      	((-5.106761e-02 9.036425e+00 6.593695e+00) (-3.513891e-02 -2.650916e-03 1.165929e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.076702e+00 1.931970e+01 -2.643490e+01) (-6.510095e-04 1.247256e-02 6.558934e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.529232      	((-4.348301e-02 9.035596e+00 6.591736e+00) (-3.537917e-02 -2.701173e-03 1.058287e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.076091e+00 1.931404e+01 -2.643836e+01) (-6.609365e-04 1.217581e-02 6.693367e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.560064      	((-3.741079e-02 9.052656e+00 6.595170e+00) (-3.521880e-02 -2.726214e-03 1.116949e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.079393e+00 1.932426e+01 -2.649298e+01) (-6.700176e-04 1.229361e-02 6.752375e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.577544      	((-3.372682e-02 9.058115e+00 6.597677e+00) (-3.531193e-02 -2.755379e-03 9.818215e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.080372e+00 1.933178e+01 -2.651190e+01) (-6.712731e-04 1.190153e-02 6.843750e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.598504      	((-2.866310e-02 9.067065e+00 6.605586e+00) (-3.517081e-02 -2.723742e-03 8.257169e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.082177e+00 1.935498e+01 -2.654206e+01) (-6.612538e-04 1.139819e-02 6.749885e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.623093      	((-2.423500e-02 9.089677e+00 6.617767e+00) (-3.502706e-02 -2.712643e-03 7.659104e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.086886e+00 1.939121e+01 -2.661206e+01) (-6.567661e-04 1.117633e-02 6.717900e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.651515      	((-1.649807e-02 9.104366e+00 6.631560e+00) (-3.490166e-02 -2.744561e-03 6.334582e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.089998e+00 1.943152e+01 -2.666097e+01) (-6.591237e-04 1.073291e-02 6.814941e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.683726      	((-1.182814e-02 9.122915e+00 6.644776e+00) (-3.478985e-02 -2.898833e-03 4.876536e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.093919e+00 1.947097e+01 -2.671952e+01) (-6.855995e-04 1.023464e-02 7.314105e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.719695      	((-3.634901e-03 9.143629e+00 6.661490e+00) (-3.444863e-02 -2.643129e-03 5.685995e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.098398e+00 1.952002e+01 -2.678663e+01) (-6.399360e-04 1.039704e-02 6.511305e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.755069      	((1.350226e-03 9.159914e+00 6.673331e+00) (-3.436314e-02 -2.699918e-03 6.122621e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.101838e+00 1.955509e+01 -2.683852e+01) (-6.542743e-04 1.047566e-02 6.705228e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.794374      	((6.110264e-03 9.186103e+00 6.689327e+00) (-3.416465e-02 -2.740486e-03 5.112306e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.107409e+00 1.960205e+01 -2.691916e+01) (-6.573613e-04 1.011491e-02 6.821966e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
